location,description,issue_type,urgency
Bhubaneswar,Large pothole on main road near PREMIER Mall causing traffic slowdowns,pothole,high
Cuttack,Streetlight not functioning on Station Road corner,streetlight,medium
Rourkela,Garbage accumulation near Uditnagar market,garbage,low
Berhampur,Water supply disruption in Berhampur Town Ward 15,water,high
Sambalpur,Potholed stretch on NH six near Bargarh belt,pothole,high
Puri,Streetlight out on near Jagannath temple complex,streetlight,high
Balasore,Garbage dumping outside ward office causing smell,garbage,medium
Baripada,Water supply flow inconsistent during peak hours,water,medium
Jharsuguda,Pothole near bus stop obstructing pedestrian path,pothole,low
Angul,Streetlight flickering in constructing area near mayor office,streetlight,low
Dhenkanal,Garbage collected late from ward 12 streets,garbage,low
Kendrapara,Water supply intermittent in coastal town,water,medium
Bargarh,Pothole on main road near market square,pothole,medium
Jeypore,Streetlight outage along NH 43 corridor,streetlight,high
Bhadrak,Overflowing garbage bins in residential area,garbage,high
Rayagada,Water supply resumes after power cut,water,low
Paradeep,Litter near port area affecting cleanliness,garbage,low
Koraput,Pothole damages two-wheelers near market area,pothole,medium
Sundargarh,Streetlight out on main road near t-junction,streetlight,medium
Phulbani,Water tank leak in central square causing wet roads,water,high
Bhubaneswar,pothole on main road near Market Square causing traffic slowdown,pothole,high
Cuttack,streetlight not working on ITI Road leading to dark intersections,streetlight,medium
Rourkela,"garbage piling up in the nullah behind Sector-5, smells rising",garbage,high
Berhampur,"water supply disrupted in ward 12, intermittent pressure",water,high
Sambalpur,pothole near bus stand causing bumper to bumper traffic,pothole,medium
Puri,streetlight flickering in coastal road causing visibility issues at night,streetlight,low
Balasore,garbage not collected in ward 4 since last two days,garbage,medium
Baripada,water supply inconsistent in the city due to pump failure,water,high
Jharsuguda,pothole on city ring road near temple,pothole,low
Angul,streetlight not working near civic body office,streetlight,high
Dhenkanal,garbage dumping near market causing foul odor,garbage,low
Kendrapara,water supply line leaking in housing colony,water,medium
Bargarh,pothole on highway approaching town center,pothole,high
Jeypore,streetlight outage near hospital complex,streetlight,medium
Bhadrak,garbage accumulation in riverfront area,garbage,high
Rayagada,water supply interrupted during evening hours,water,high
Paradeep,pothole on coastal road near port area,pothole,medium
Koraput,streetlight damaged near government school,streetlight,low
Sundargarh,garbage bin overflowed at market square,garbage,medium
Phulbani,water tank leaking in municipal building,water,low
Bhubaneswar,large pothole on main road near VIP road,pothole,high
Cuttack,streetlight not working at city square,streetlight,medium
Rourkela,garbage piling up at market area,garbage,high
Berhampur,water supply disrupted in ward 12,water,high
Sambalpur,blocked drain causing minor flooding,garbage,low
Puri,pothole after monsoon near signaling,pothole,medium
Balasore,streetlight flickering during night,streetlight,low
Baripada,garbage not collected in ward 3,garbage,medium
Jharsuguda,water supply irregularities in colony,water,high
Angul,pothole on highway near substation,pothole,low
Dhenkanal,streetlight outage near market complex,streetlight,high
Kendrapara,garbage dump not cleared for days,garbage,high
Bargarh,drainage clog causing waterlogging,water,medium
Jeypore,pothole near school entrance,pothole,low
Bhadrak,streetlight not turning on in night,streetlight,medium
Rayagada,garbage scattered at bus stand,garbage,high
Paradeep,water supply low pressure in coastal area,water,low
Koraput,pothole on steep road near bridge,pothole,medium
Sundargarh,streetlight out on main boulevard,streetlight,high
Phulbani,garbage pile near market street,garbage,low
Bhubaneswar,Large pothole on main road near master plan intersection,pothole,high
Cuttack,Streetlight not working at central circle causing poor visibility at night,streetlight,medium
Rourkela,Garbage not collected for two days around residential colony,garbage,high
Berhampur,"Water supply disruption in ward 12, residents report low pressure",water,high
Sambalpur,"Pothole damaged road near market, hindering traffic",pothole,medium
Puri,Streetlight along beach promenade not turning on after sunset,streetlight,low
Balasore,"Garbage piling up in lane behind hotel, attracting flies",garbage,high
Baripada,Water supply inconsistent during early morning hours,water,medium
Jharsuguda,Pothole near railway crossing causing vehicle damage,pothole,high
Angul,Streetlight in neighborhood park not functioning,streetlight,low
Dhenkanal,Garbage collected late in market area; sanitation concern,garbage,medium
Kendrapara,Water supply returning after intermittent outages,water,low
Bargarh,Pothole on state highway creating rough ride,pothole,medium
Jeypore,Streetlight not visible due to faulty pole wiring,streetlight,high
Bhadrak,Stagnant water in low-lying area after rains,water,low
Rayagada,Overflowing garbage bins near bus stand,garbage,medium
Paradeep,Pothole with broken asphalt causing noise at night,pothole,high
Koraput,Streetlight near government building flickering intermittently,streetlight,medium
